,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 4, Census Tract 4705.02, Lawrence County, Arkansas",871.30,0.92,0.41,0.51,182,0.63,0.00,0.14,0.06,0.21,0.15,0.33,0.69,0.37,0.13,0.57,0.18,0.10,1966.00,0.19,0.20,0.09,0.00
"Block Group 5, Census Tract 4705.02, Lawrence County, Arkansas",379.40,1.79,0.63,0.47,151,0.47,0.00,0.25,0.10,0.75,0.27,0.28,0.71,0.40,0.12,0.71,0.16,0.03,1978.00,0.19,0.13,0.08,0.00
"Block Group 1, Census Tract 4701, Lee County, Arkansas",10.20,193.03,0.12,0.00,147,0.26,0.35,0.27,0.02,0.34,0.20,0.14,0.79,0.26,0.41,0.68,0.12,0.06,1978.00,0.37,0.00,0.01,0.00
"Block Group 2, Census Tract 4701, Lee County, Arkansas",4.60,89.78,0.42,0.15,90,0.19,0.00,0.23,0.12,0.17,0.46,0.29,0.67,0.43,0.28,0.56,0.13,0.08,1978.00,0.58,0.00,0.05,0.00
"Block Group 1, Census Tract 4702, Lee County, Arkansas",9.00,53.24,0.54,0.41,162,0.31,0.00,0.28,0.07,0.33,0.44,0.48,0.67,0.28,0.11,0.46,0.06,0.14,1985.00,0.34,0.32,0.00,0.00
"Block Group 2, Census Tract 4702, Lee County, Arkansas",11.80,104.36,0.42,0.49,322,0.45,0.00,0.22,0.03,0.33,0.27,0.39,0.90,0.34,0.20,0.77,0.26,0.18,1975.00,0.69,0.00,0.07,0.00
"Block Group 1, Census Tract 4703, Lee County, Arkansas",405.80,2.49,0.63,0.72,163,0.38,0.11,0.18,0.12,0.37,0.07,0.92,0.38,0.32,0.24,0.50,0.08,0.17,1968.00,0.51,0.32,0.18,0.00
"Block Group 2, Census Tract 4703, Lee County, Arkansas",69.30,1.99,0.51,0.67,43,0.61,0.00,0.56,0.00,0.44,0.14,0.96,0.18,0.05,0.00,0.05,0.00,0.00,1966.00,0.39,0.68,0.00,0.00
"Block Group 3, Census Tract 4703, Lee County, Arkansas",263.20,4.46,0.43,0.33,267,0.42,0.13,0.35,0.13,0.29,0.40,0.41,0.70,0.30,0.32,0.55,0.16,0.13,1968.00,0.40,0.25,0.07,0.00
"Block Group 4, Census Tract 4703, Lee County, Arkansas",268.80,5.04,0.66,0.91,81,0.42,0.00,0.24,0.05,0.41,0.30,0.31,0.28,0.31,0.29,0.71,0.05,0.02,1971.00,0.49,0.53,0.33,0.00
"Block Group 1, Census Tract 4704, Lee County, Arkansas",4.90,83.98,0.32,0.39,187,0.45,0.00,0.15,0.02,0.12,0.05,0.41,0.46,0.06,0.11,0.48,0.21,0.14,1972.00,0.21,0.00,0.44,0.00
"Block Group 2, Census Tract 4704, Lee County, Arkansas",10.50,61.42,0.60,0.12,228,0.35,0.07,0.32,0.04,0.28,0.40,0.57,0.63,0.16,0.16,0.57,0.12,0.10,1971.00,0.33,0.19,0.08,0.00
"Block Group 1, Census Tract 9603, Lincoln County, Arkansas",9.10,70.03,0.60,0.65,196,0.41,0.00,0.42,0.01,0.29,0.28,0.79,0.73,0.38,0.16,0.66,0.06,0.07,1968.00,0.61,0.00,0.06,0.00
"Block Group 2, Census Tract 9603, Lincoln County, Arkansas",5.00,80.63,0.54,1.00,178,0.60,0.00,0.19,0.00,0.25,0.11,0.42,0.94,0.17,0.31,0.74,0.15,0.00,1972.00,0.88,0.00,0.26,0.00
"Block Group 3, Census Tract 9603, Lincoln County, Arkansas",13.10,100.71,0.50,0.03,507,0.26,0.00,0.09,0.02,0.44,0.14,0.21,0.79,0.35,0.24,0.85,0.16,0.04,1996.00,0.89,0.00,0.06,0.00
"Block Group 1, Census Tract 9604, Lincoln County, Arkansas",21.90,71.72,0.54,0.09,504,0.46,0.00,0.22,0.04,0.33,0.26,0.73,0.83,0.38,0.18,0.68,0.09,0.11,1990.00,0.68,0.25,0.08,0.00
"Block Group 2, Census Tract 9604, Lincoln County, Arkansas",17.30,79.55,0.57,0.00,371,0.46,0.13,0.08,0.01,0.54,0.23,0.19,0.72,0.60,0.24,0.81,0.24,0.12,1994.00,0.78,0.00,0.07,0.00
"Block Group 1, Census Tract 9605, Lincoln County, Arkansas",142.70,6.96,0.60,0.27,269,0.51,0.04,0.22,0.00,0.48,0.11,0.48,0.83,0.45,0.27,0.82,0.03,0.12,1973.00,0.42,0.15,0.08,0.00
"Block Group 2, Census Tract 9605, Lincoln County, Arkansas",273.00,3.86,0.57,0.18,310,0.45,0.00,0.25,0.00,0.47,0.33,0.37,0.89,0.37,0.19,0.69,0.02,0.10,1976.00,0.44,0.10,0.11,0.00
"Block Group 1, Census Tract 9606, Lincoln County, Arkansas",6.60,36.87,0.67,0.39,75,0.48,0.00,0.44,0.00,0.29,0.31,0.49,0.74,0.28,0.13,0.54,0.10,0.10,1977.00,0.33,0.02,0.06,0.00
"Block Group 2, Census Tract 9606, Lincoln County, Arkansas",142.30,32.91,0.01,,28,0.20,0.61,0.26,0.00,0.50,0.35,0.64,1.00,0.00,0.46,0.50,0.00,0.35,1996.00,0.65,0.00,0.00,0.00
"Block Group 3, Census Tract 9606, Lincoln County, Arkansas",10.70,76.21,0.65,0.51,255,0.40,0.19,0.22,0.04,0.18,0.20,0.50,0.59,0.30,0.24,0.54,0.07,0.08,1979.00,0.41,0.26,0.01,0.00
"Block Group 1, Census Tract 301.01, Little River County, Arkansas",504.90,2.04,0.55,0.66,281,0.50,0.00,0.26,0.05,0.75,0.22,0.77,0.98,0.31,0.20,0.88,0.04,0.07,1975.00,0.60,0.00,0.32,0.00
"Block Group 2, Census Tract 301.01, Little River County, Arkansas",159.00,3.51,0.51,0.00,174,0.27,0.00,0.29,0.06,0.59,0.13,0.44,0.73,0.20,0.15,0.68,0.04,0.17,1976.00,0.37,0.00,0.04,0.00
"Block Group 3, Census Tract 301.01, Little River County, Arkansas",17.70,50.76,0.56,0.37,243,0.56,0.00,0.11,0.03,0.50,0.20,0.66,0.80,0.50,0.27,0.75,0.06,0.26,1975.00,0.67,0.07,0.04,0.00
"Block Group 1, Census Tract 301.03, Little River County, Arkansas",68.30,8.84,0.46,,188,0.39,0.00,0.45,0.10,0.55,0.26,0.65,0.71,0.30,0.16,0.50,0.04,0.05,1981.00,0.84,0.00,0.00,0.00
"Block Group 2, Census Tract 301.03, Little River County, Arkansas",27.80,21.95,0.39,0.00,339,0.28,0.00,0.28,0.00,0.58,0.23,0.16,0.86,0.18,0.25,0.53,0.02,0.19,1989.00,0.77,0.00,0.00,0.00
"Block Group 3, Census Tract 301.03, Little River County, Arkansas",3.30,53.45,0.40,,114,0.26,0.00,0.34,0.00,0.32,0.02,0.80,0.56,0.10,0.20,0.42,0.00,0.10,1980.00,0.97,0.00,0.00,0.00
"Block Group 1, Census Tract 301.04, Little River County, Arkansas",49.60,19.80,0.72,1.00,228,0.60,0.00,0.40,0.03,0.33,0.27,0.44,0.62,0.35,0.13,0.76,0.04,0.20,1971.00,0.43,0.18,0.00,0.07
"Block Group 2, Census Tract 301.04, Little River County, Arkansas",354.00,4.12,0.42,0.40,436,0.68,0.00,0.11,0.10,0.29,0.21,0.54,0.86,0.42,0.29,0.66,0.08,0.34,1983.00,0.49,0.00,0.08,0.00
"Block Group 1, Census Tract 302, Little River County, Arkansas",41.40,23.58,0.52,0.24,287,0.45,0.00,0.29,0.02,0.60,0.16,0.36,0.78,0.37,0.31,0.61,0.00,0.16,1975.00,0.52,0.06,0.05,0.01
"Block Group 2, Census Tract 302, Little River County, Arkansas",33.80,25.39,0.50,0.29,264,0.58,0.00,0.26,0.07,0.56,0.17,0.66,0.83,0.42,0.33,0.73,0.06,0.03,1989.00,0.62,0.15,0.08,0.00
"Block Group 3, Census Tract 302, Little River County, Arkansas",8.80,106.40,0.40,0.00,278,0.59,0.00,0.22,0.03,0.32,0.25,0.54,0.84,0.45,0.26,0.62,0.03,0.25,1978.00,0.86,0.00,0.00,0.00
"Block Group 1, Census Tract 303.01, Little River County, Arkansas",11.10,94.90,0.57,0.10,383,0.45,0.00,0.20,0.06,0.39,0.20,0.43,0.93,0.39,0.20,0.72,0.28,0.16,1986.00,0.80,0.02,0.25,0.00
"Block Group 1, Census Tract 303.02, Little River County, Arkansas",44.60,26.79,0.48,0.34,419,0.26,0.00,0.29,0.06,0.40,0.26,0.68,0.87,0.23,0.27,0.74,0.03,0.15,1983.00,0.73,0.15,0.14,0.00
"Block Group 2, Census Tract 303.02, Little River County, Arkansas",8.60,89.74,0.57,0.30,205,0.40,0.46,0.22,0.00,0.20,0.35,0.42,0.91,0.34,0.30,0.65,0.03,0.08,1983.00,0.70,0.00,0.10,0.00
"Block Group 1, Census Tract 9501, Logan County, Arkansas",19.20,79.25,0.48,0.33,594,0.44,0.02,0.19,0.02,0.32,0.55,0.42,0.78,0.21,0.18,0.72,0.05,0.21,1979.00,0.70,0.17,0.05,0.00
"Block Group 2, Census Tract 9501, Logan County, Arkansas",35.80,55.48,0.51,0.05,607,0.56,0.00,0.12,0.01,0.46,0.28,0.47,0.87,0.40,0.31,0.78,0.16,0.28,1979.00,0.60,0.02,0.02,0.00
"Block Group 3, Census Tract 9501, Logan County, Arkansas",5.50,93.71,0.46,1.00,283,0.17,0.00,0.31,0.00,0.39,0.11,0.33,0.81,0.12,0.28,0.60,0.06,0.07,1991.00,0.61,0.00,0.00,0.00
"Block Group 1, Census Tract 9502, Logan County, Arkansas",18.70,54.67,0.55,0.18,281,0.43,0.00,0.14,0.02,0.68,0.26,0.28,0.94,0.44,0.26,0.85,0.15,0.11,1978.00,0.65,0.00,0.18,0.00
"Block Group 2, Census Tract 9502, Logan County, Arkansas",70.20,20.30,0.46,0.31,349,0.42,0.00,0.18,0.07,0.54,0.15,0.44,0.86,0.50,0.22,0.76,0.08,0.13,1979.00,0.58,0.08,0.21,0.00
"Block Group 3, Census Tract 9502, Logan County, Arkansas",17.60,68.57,0.46,0.40,426,0.58,0.00,0.20,0.03,0.48,0.14,0.56,0.83,0.24,0.22,0.61,0.03,0.17,1985.00,0.58,0.09,0.10,0.00
"Block Group 1, Census Tract 9503, Logan County, Arkansas",320.50,3.55,0.52,0.41,356,0.51,0.00,0.27,0.01,0.30,0.31,0.36,0.77,0.34,0.21,0.58,0.08,0.09,1974.00,0.57,0.25,0.09,0.00
"Block Group 2, Census Tract 9503, Logan County, Arkansas",168.70,5.43,0.62,0.30,219,0.37,0.00,0.29,0.09,0.74,0.09,0.23,0.68,0.49,0.29,0.61,0.10,0.31,1971.00,0.26,0.38,0.07,0.00
"Block Group 3, Census Tract 9503, Logan County, Arkansas",303.00,5.38,0.52,0.31,488,0.45,0.50,0.34,0.00,0.51,0.17,0.14,0.80,0.27,0.18,0.52,0.06,0.05,1974.00,0.47,0.08,0.02,0.00
"Block Group 1, Census Tract 9504, Logan County, Arkansas",25.60,55.93,0.53,0.33,300,0.42,0.18,0.29,0.01,0.52,0.22,0.34,0.84,0.53,0.29,0.75,0.10,0.09,1983.00,0.62,0.11,0.11,0.00
"Block Group 2, Census Tract 9504, Logan County, Arkansas",26.90,67.01,0.48,0.26,652,0.40,0.00,0.19,0.03,0.49,0.38,0.30,0.87,0.31,0.30,0.76,0.07,0.22,1985.00,0.65,0.05,0.23,0.00
"Block Group 1, Census Tract 9505, Logan County, Arkansas",374.80,3.74,0.55,0.28,213,0.35,0.00,0.24,0.10,0.70,0.20,0.59,0.81,0.58,0.31,0.72,0.03,0.02,1979.00,0.56,0.05,0.11,0.00
"Block Group 2, Census Tract 9505, Logan County, Arkansas",1005.60,1.25,0.53,0.19,232,0.47,0.00,0.30,0.04,0.63,0.23,0.38,0.85,0.42,0.21,0.55,0.02,0.09,1978.00,0.44,0.06,0.00,0.07
"Block Group 3, Census Tract 9505, Logan County, Arkansas",607.00,1.16,0.48,1.00,98,0.15,0.00,0.45,0.01,0.34,0.07,0.23,0.51,0.39,0.22,0.56,0.00,0.17,1978.00,0.55,0.10,0.29,0.00
"Block Group 4, Census Tract 9505, Logan County, Arkansas",219.20,2.68,0.45,0.00,138,0.52,0.00,0.35,0.02,0.46,0.17,0.62,0.57,0.30,0.28,0.54,0.12,0.07,1980.00,0.68,0.29,0.57,0.00
"Block Group 1, Census Tract 9506, Logan County, Arkansas",9.80,80.15,0.52,0.00,276,0.55,0.00,0.30,0.02,0.45,0.21,0.62,0.73,0.25,0.40,0.58,0.10,0.33,1976.00,0.42,0.24,0.07,0.00
"Block Group 2, Census Tract 9506, Logan County, Arkansas",17.90,110.89,0.50,0.22,447,0.36,0.00,0.12,0.01,0.46,0.19,0.37,0.88,0.58,0.18,0.83,0.13,0.22,1972.00,0.68,0.00,0.25,0.00
"Block Group 1, Census Tract 201.02, Lonoke County, Arkansas",563.80,4.72,0.51,0.65,418,0.52,0.39,0.13,0.03,0.83,0.11,0.67,0.83,0.54,0.19,0.76,0.01,0.09,2003.00,0.72,0.15,0.09,0.00
"Block Group 2, Census Tract 201.02, Lonoke County, Arkansas",228.40,15.63,0.52,0.31,730,0.49,0.16,0.19,0.01,0.72,0.26,0.30,0.86,0.67,0.27,0.86,0.04,0.08,2003.00,0.58,0.11,0.19,0.00
"Block Group 1, Census Tract 201.03, Lonoke County, Arkansas",924.50,5.26,0.51,0.10,1448,0.71,0.00,0.08,0.02,0.83,0.21,0.78,0.96,0.56,0.26,0.81,0.06,0.15,2008.00,0.55,0.07,0.08,0.00
"Block Group 2, Census Tract 201.03, Lonoke County, Arkansas",134.30,16.90,0.50,0.04,814,0.54,0.00,0.24,0.01,0.61,0.25,0.43,0.87,0.36,0.29,0.67,0.09,0.21,2003.00,0.84,0.13,0.19,0.00
"Block Group 1, Census Tract 201.05, Lonoke County, Arkansas",543.60,7.17,0.49,0.05,1231,0.70,0.00,0.13,0.03,0.79,0.27,0.65,0.94,0.58,0.35,0.84,0.11,0.17,2007.00,0.41,0.04,0.11,0.00
"Block Group 2, Census Tract 201.05, Lonoke County, Arkansas",317.00,7.68,0.56,0.12,728,0.63,0.00,0.20,0.04,0.87,0.36,0.70,0.89,0.50,0.27,0.71,0.02,0.17,2005.00,0.64,0.12,0.04,0.00
"Block Group 1, Census Tract 201.06, Lonoke County, Arkansas",105.30,20.16,0.54,0.00,595,0.38,0.21,0.29,0.06,0.55,0.26,0.62,0.80,0.38,0.35,0.73,0.05,0.06,1994.00,0.79,0.27,0.02,0.00
"Block Group 1, Census Tract 201.07, Lonoke County, Arkansas",50.80,53.75,0.55,0.05,806,0.39,0.00,0.27,0.02,0.75,0.33,0.66,0.92,0.48,0.25,0.78,0.13,0.11,2002.00,0.68,0.23,0.15,0.00
"Block Group 1, Census Tract 201.08, Lonoke County, Arkansas",322.90,8.96,0.47,0.16,770,0.62,0.00,0.09,0.00,0.56,0.33,0.54,0.95,0.50,0.23,0.89,0.08,0.21,1996.00,0.88,0.00,0.13,0.00
"Block Group 2, Census Tract 201.08, Lonoke County, Arkansas",179.20,12.83,0.49,0.00,632,0.48,0.00,0.18,0.04,0.68,0.29,0.38,0.81,0.41,0.36,0.73,0.12,0.15,1994.00,0.96,0.09,0.11,0.00
"Block Group 1, Census Tract 202.01, Lonoke County, Arkansas",349.10,3.53,0.43,0.88,445,0.71,0.20,0.29,0.02,0.65,0.38,0.50,0.93,0.37,0.33,0.74,0.05,0.13,1994.00,0.58,0.00,0.14,0.00
"Block Group 2, Census Tract 202.01, Lonoke County, Arkansas",928.20,2.84,0.50,0.26,772,0.76,0.00,0.09,0.03,0.69,0.32,0.63,0.98,0.38,0.24,0.94,0.05,0.29,1993.00,0.91,0.05,0.10,0.00
"Block Group 1, Census Tract 202.02, Lonoke County, Arkansas",2104.10,0.89,0.50,0.46,256,0.57,0.00,0.30,0.04,0.90,0.15,0.52,0.85,0.42,0.25,0.63,0.03,0.03,1998.00,0.75,0.23,0.16,0.00
"Block Group 2, Census Tract 202.02, Lonoke County, Arkansas",967.40,1.05,0.37,0.26,217,0.58,0.00,0.24,0.06,0.91,0.20,0.54,0.88,0.46,0.40,0.80,0.15,0.11,2001.00,0.28,0.17,0.03,0.00
"Block Group 3, Census Tract 202.02, Lonoke County, Arkansas",456.40,1.31,0.62,0.31,99,0.33,0.00,0.21,0.00,0.61,0.35,0.61,0.90,0.49,0.34,0.82,0.00,0.06,1989.00,0.29,0.13,0.07,0.00
"Block Group 1, Census Tract 202.04, Lonoke County, Arkansas",1871.80,0.96,0.56,0.18,504,0.65,0.00,0.27,0.01,0.56,0.21,0.43,0.78,0.29,0.24,0.62,0.11,0.11,1993.00,0.57,0.16,0.04,0.00
"Block Group 2, Census Tract 202.04, Lonoke County, Arkansas",1388.50,1.33,0.58,0.23,478,0.44,0.00,0.38,0.00,0.71,0.22,0.26,0.85,0.32,0.24,0.54,0.19,0.09,1995.00,0.71,0.15,0.06,0.00
"Block Group 3, Census Tract 202.04, Lonoke County, Arkansas",238.30,7.33,0.53,0.21,209,0.52,0.00,0.17,0.00,0.44,0.10,0.60,0.95,0.45,0.34,0.72,0.09,0.11,1997.00,0.82,0.08,0.14,0.00
"Block Group 1, Census Tract 202.05, Lonoke County, Arkansas",1695.70,0.84,0.47,0.17,468,0.59,0.00,0.37,0.01,0.65,0.26,0.62,0.90,0.30,0.25,0.67,0.03,0.14,1995.00,0.44,0.25,0.01,0.00
"Block Group 2, Census Tract 202.05, Lonoke County, Arkansas",4144.10,0.50,0.51,0.69,363,0.52,0.12,0.35,0.04,0.25,0.32,0.52,0.77,0.38,0.23,0.50,0.09,0.04,1975.00,0.48,0.12,0.08,0.00
"Block Group 3, Census Tract 202.05, Lonoke County, Arkansas",1228.10,0.96,0.53,0.05,330,0.71,0.00,0.11,0.01,0.75,0.21,0.53,0.95,0.58,0.38,0.76,0.05,0.12,2002.00,0.28,0.00,0.02,0.00
"Block Group 1, Census Tract 202.06, Lonoke County, Arkansas",2147.60,1.67,0.51,0.49,869,0.59,0.00,0.19,0.06,0.78,0.17,0.60,0.88,0.45,0.27,0.79,0.06,0.09,2002.00,0.68,0.36,0.10,0.00
"Block Group 2, Census Tract 202.06, Lonoke County, Arkansas",250.90,6.45,0.54,0.54,268,0.57,0.00,0.25,0.02,0.84,0.23,0.37,0.82,0.41,0.14,0.71,0.13,0.01,2003.00,0.87,0.35,0.07,0.00
"Block Group 1, Census Tract 203.01, Lonoke County, Arkansas",242.90,3.92,0.31,0.66,242,0.12,0.00,0.40,0.11,0.40,0.21,0.21,0.87,0.21,0.42,0.42,0.02,0.04,1979.00,0.67,0.00,0.07,0.00
"Block Group 2, Census Tract 203.01, Lonoke County, Arkansas",132.50,12.93,0.49,0.27,473,0.19,0.00,0.20,0.02,0.47,0.15,0.38,0.88,0.36,0.19,0.60,0.22,0.06,1989.00,0.70,0.11,0.10,0.00
"Block Group 3, Census Tract 203.01, Lonoke County, Arkansas",373.30,4.49,0.49,0.00,496,0.36,0.15,0.17,0.02,0.44,0.30,0.22,0.91,0.51,0.25,0.78,0.04,0.05,1992.00,0.29,0.00,0.02,0.00
"Block Group 1, Census Tract 203.02, Lonoke County, Arkansas",125.90,19.06,0.50,0.09,722,0.59,0.00,0.23,0.05,0.66,0.27,0.43,0.87,0.47,0.30,0.72,0.04,0.19,1997.00,0.73,0.00,0.06,0.00
"Block Group 2, Census Tract 203.02, Lonoke County, Arkansas",30.40,50.16,0.41,0.15,450,0.34,0.04,0.24,0.08,0.49,0.14,0.35,0.86,0.38,0.31,0.63,0.12,0.07,1988.00,0.78,0.16,0.00,0.00
"Block Group 1, Census Tract 204, Lonoke County, Arkansas",15.30,44.10,0.55,0.42,189,0.22,0.00,0.19,0.06,0.52,0.26,0.37,0.80,0.50,0.28,0.76,0.13,0.03,1980.00,0.56,0.00,0.00,0.00
"Block Group 2, Census Tract 204, Lonoke County, Arkansas",300.80,4.15,0.53,0.33,370,0.43,0.21,0.17,0.03,0.64,0.23,0.52,0.92,0.52,0.30,0.81,0.06,0.11,1975.00,0.42,0.24,0.09,0.02
"Block Group 3, Census Tract 204, Lonoke County, Arkansas",11.80,93.84,0.50,0.50,333,0.40,0.00,0.24,0.02,0.48,0.28,0.25,0.77,0.28,0.24,0.75,0.16,0.14,1979.00,0.76,0.15,0.02,0.00
"Block Group 1, Census Tract 205, Lonoke County, Arkansas",273.30,7.57,0.55,0.82,629,0.48,0.00,0.26,0.06,0.51,0.08,0.29,0.78,0.29,0.30,0.60,0.02,0.06,1975.00,0.54,0.17,0.20,0.00
"Block Group 2, Census Tract 205, Lonoke County, Arkansas",39.30,21.18,0.46,0.42,225,0.23,0.00,0.40,0.12,0.43,0.20,0.16,0.68,0.19,0.32,0.39,0.02,0.02,1977.00,0.26,0.29,0.14,0.00
"Block Group 3, Census Tract 205, Lonoke County, Arkansas",156.00,13.22,0.46,0.12,625,0.54,0.01,0.17,0.06,0.54,0.25,0.68,0.90,0.41,0.16,0.72,0.14,0.20,1979.00,0.51,0.11,0.10,0.00
"Block Group 1, Census Tract 206, Lonoke County, Arkansas",10.30,71.86,0.56,0.73,246,0.41,0.17,0.13,0.01,0.44,0.26,0.53,0.80,0.34,0.27,0.70,0.06,0.06,1981.00,0.51,0.91,0.00,0.00
"Block Group 2, Census Tract 206, Lonoke County, Arkansas",10.10,75.70,0.50,0.16,278,0.49,0.00,0.24,0.03,0.37,0.28,0.58,0.85,0.28,0.28,0.62,0.12,0.10,1984.00,0.46,0.16,0.14,0.00
"Block Group 1, Census Tract 207, Lonoke County, Arkansas",160.50,6.78,0.53,0.07,311,0.63,0.00,0.24,0.01,0.52,0.13,0.54,0.81,0.41,0.29,0.63,0.14,0.08,1980.00,0.45,0.24,0.04,0.00
"Block Group 2, Census Tract 207, Lonoke County, Arkansas",80.30,11.59,0.48,0.41,182,0.45,0.00,0.19,0.05,0.32,0.24,0.31,0.77,0.25,0.17,0.68,0.13,0.01,1958.00,0.23,0.27,0.24,0.00
"Block Group 3, Census Tract 207, Lonoke County, Arkansas",32.30,17.95,0.47,0.59,136,0.44,0.00,0.37,0.04,0.52,0.40,0.24,0.55,0.25,0.18,0.49,0.00,0.09,1973.00,0.54,0.42,0.11,0.00
"Block Group 1, Census Tract 208, Lonoke County, Arkansas",7.40,84.45,0.51,0.30,221,0.20,0.00,0.38,0.00,0.32,0.34,0.38,0.95,0.27,0.23,0.56,0.19,0.06,1963.00,0.82,0.00,0.17,0.00
"Block Group 2, Census Tract 208, Lonoke County, Arkansas",10.70,45.77,0.44,0.00,144,0.29,0.00,0.19,0.04,0.29,0.21,0.31,0.79,0.34,0.22,0.65,0.07,0.15,1980.00,0.42,0.04,0.03,0.00
"Block Group 1, Census Tract 9601, Madison County, Arkansas",15.50,61.36,0.63,0.21,321,0.43,0.00,0.20,0.02,0.42,0.28,0.49,0.90,0.33,0.27,0.73,0.05,0.28,1982.00,0.33,0.00,0.03,0.00
"Block Group 2, Census Tract 9601, Madison County, Arkansas",18.80,86.46,0.52,0.31,388,0.33,0.00,0.11,0.00,0.51,0.06,0.17,0.91,0.43,0.21,0.87,0.31,0.06,1997.00,0.43,0.40,0.18,0.00
"Block Group 3, Census Tract 9601, Madison County, Arkansas",32.70,40.92,0.45,0.16,390,0.45,0.00,0.15,0.00,0.36,0.17,0.47,0.88,0.50,0.22,0.78,0.14,0.16,1994.00,0.51,0.02,0.09,0.00
"Block Group 1, Census Tract 9602, Madison County, Arkansas",118.00,14.11,0.54,0.74,310,0.27,0.25,0.29,0.03,0.40,0.07,0.25,0.74,0.46,0.16,0.66,0.07,0.12,1975.00,0.24,0.05,0.03,0.01
"Block Group 2, Census Tract 9602, Madison County, Arkansas",203.40,7.85,0.45,0.11,339,0.39,0.33,0.09,0.03,0.72,0.12,0.37,0.88,0.71,0.21,0.86,0.15,0.22,1991.00,0.19,0.00,0.09,0.00
"Block Group 3, Census Tract 9602, Madison County, Arkansas",74.70,11.40,0.51,0.48,154,0.35,0.00,0.32,0.05,0.38,0.19,0.44,0.81,0.47,0.24,0.70,0.18,0.15,1973.00,0.51,0.19,0.07,0.00
"Block Group 1, Census Tract 9603, Madison County, Arkansas",35.40,54.91,0.45,0.23,625,0.35,0.00,0.09,0.04,0.44,0.14,0.76,0.97,0.47,0.30,0.84,0.40,0.18,1993.00,0.42,0.00,0.00,0.00
"Block Group 2, Census Tract 9603, Madison County, Arkansas",18.90,69.54,0.46,0.00,441,0.23,0.00,0.07,0.01,0.30,0.08,0.58,0.92,0.43,0.29,0.87,0.25,0.08,1993.00,0.08,0.00,0.06,0.00
"Block Group 3, Census Tract 9603, Madison County, Arkansas",12.30,85.50,0.44,1.00,339,0.21,0.00,0.29,0.04,0.23,0.15,0.64,0.61,0.21,0.35,0.52,0.14,0.20,1983.00,0.50,0.00,0.06,0.00
"Block Group 4, Census Tract 9603, Madison County, Arkansas",12.90,73.51,0.57,0.10,358,0.53,0.00,0.28,0.00,0.18,0.53,0.91,0.94,0.23,0.16,0.68,0.04,0.27,1996.00,0.38,0.00,0.00,0.00
"Block Group 1, Census Tract 9604, Madison County, Arkansas",13.50,91.06,0.41,0.09,445,0.33,0.00,0.24,0.02,0.58,0.13,0.20,0.71,0.39,0.20,0.63,0.16,0.18,1988.00,0.30,0.00,0.11,0.00
"Block Group 2, Census Tract 9604, Madison County, Arkansas",13.00,99.33,0.46,0.32,493,0.31,0.00,0.18,0.10,0.50,0.21,0.00,0.82,0.12,0.29,0.69,0.06,0.27,1997.00,0.42,0.00,0.03,0.00
"Block Group 3, Census Tract 9604, Madison County, Arkansas",5.00,138.28,0.56,0.00,275,0.49,0.00,0.35,0.00,0.62,0.33,0.25,0.75,0.23,0.16,0.43,0.10,0.21,1988.00,0.26,0.45,0.02,0.00
"Block Group 1, Census Tract 9601, Marion County, Arkansas",9.00,77.68,0.51,0.00,299,0.58,0.00,0.22,0.01,0.30,0.41,0.74,0.76,0.22,0.24,0.70,0.19,0.21,1979.00,0.67,0.00,0.20,0.00
"Block Group 2, Census Tract 9601, Marion County, Arkansas",8.10,129.69,0.43,0.00,482,0.37,0.00,0.38,0.02,0.29,0.56,0.64,0.87,0.06,0.13,0.44,0.08,0.35,1995.00,0.24,0.00,0.15,0.00
"Block Group 3, Census Tract 9601, Marion County, Arkansas",20.40,43.50,0.54,0.00,410,0.54,0.00,0.32,0.03,0.32,0.36,0.39,0.64,0.13,0.32,0.69,0.05,0.29,1979.00,0.56,0.00,0.18,0.00
"Block Group 4, Census Tract 9601, Marion County, Arkansas",35.00,35.63,0.54,0.32,470,0.60,0.00,0.29,0.05,0.41,0.29,0.76,0.80,0.32,0.25,0.72,0.23,0.22,1986.00,0.54,0.00,0.01,0.00
"Block Group 1, Census Tract 9602.01, Marion County, Arkansas",19.20,80.71,0.55,0.29,512,0.48,0.00,0.25,0.04,0.24,0.32,0.42,0.74,0.33,0.21,0.63,0.12,0.23,1992.00,0.36,0.09,0.12,0.00
"Block Group 2, Census Tract 9602.01, Marion County, Arkansas",223.90,5.42,0.48,0.49,227,0.41,0.15,0.34,0.09,0.59,0.27,0.23,0.78,0.32,0.19,0.59,0.04,0.08,1975.00,0.46,0.23,0.15,0.00
"Block Group 3, Census Tract 9602.01, Marion County, Arkansas",100.40,8.96,0.53,0.10,166,0.43,0.00,0.23,0.07,0.42,0.20,0.52,0.83,0.51,0.22,0.86,0.10,0.08,1986.00,0.32,0.15,0.02,0.00
